"ONTOLOGY","ID","Description","GeneRatio_num","GeneRatio_den","BgRatio_num","BgRatio_den","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","EntrezID","Count","GeneRatio_val","BgRatio_val","Gene_Symbol","Ensembl ID","Pvalue","LogFC","origem"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5592",56,0.159090909090909,0.111480865224626,"PRKG1","ENSG00000185532",0.0003740717536894,-34.0065933082147,"BOST_Endothelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5592",56,0.159090909090909,0.111480865224626,"PRKG1","ENSG00000185532",1.01380275491691e-20,75.6196418927652,"Delorey_Endothelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5592",56,0.159090909090909,0.111480865224626,"PRKG1","ENSG00000185532",0,-67.1633213446328,"BOST_Fibroblasts.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2321",56,0.159090909090909,0.111480865224626,"FLT1","ENSG00000102755",0.0046436403495703,-38.0815433107551,"BOST_Endothelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2321",56,0.159090909090909,0.111480865224626,"FLT1","ENSG00000102755",7.24761678076425e-215,56.8718954431605,"Delorey_Endothelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"1740",56,0.159090909090909,0.111480865224626,"DLG2","ENSG00000150672",4.69671875250319e-262,-35.717017190236,"BOST_Epithelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2122",56,0.159090909090909,0.111480865224626,"MECOM","ENSG00000085276",0,-19.2737912463182,"BOST_Neutrophils.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2122",56,0.159090909090909,0.111480865224626,"MECOM","ENSG00000085276",7.04963104418922e-73,-9.99702945896045,"BOST_RBC.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"64754",56,0.159090909090909,0.111480865224626,"SMYD3","ENSG00000185420",4.20719411345226e-55,146.459836592098,"Delorey_Epithelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"64754",56,0.159090909090909,0.111480865224626,"SMYD3","ENSG00000185420",2.53755787343795e-27,-27.0666645508392,"BOST_Mast.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"64754",56,0.159090909090909,0.111480865224626,"SMYD3","ENSG00000185420",1.95844643190643e-72,66.115791012369,"Delorey_Monocytes.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"64754",56,0.159090909090909,0.111480865224626,"SMYD3","ENSG00000185420",0,-11.2290584639674,"Delorey_Unknown.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2066",56,0.159090909090909,0.111480865224626,"ERBB4","ENSG00000178568",7.51298875718806e-268,-35.3427375457666,"BOST_Epithelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2066",56,0.159090909090909,0.111480865224626,"ERBB4","ENSG00000178568",0,-20.708339331019,"BOST_Neutrophils.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"241",56,0.159090909090909,0.111480865224626,"ALOX5AP","ENSG00000132965",2.53596541596182e-178,26.126671345889,"BOST_Endothelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5218",56,0.159090909090909,0.111480865224626,"CDK14","ENSG00000058091",0,-15.293023276982,"BOST_Neutrophils.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"120892",56,0.159090909090909,0.111480865224626,"LRRK2","ENSG00000188906",1.74179506961601e-196,-63.0462919903306,"BOST_Epithelial.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"120892",56,0.159090909090909,0.111480865224626,"LRRK2","ENSG00000188906",1.9302099326206e-07,-18.4989561722291,"BOST_Neutrophils.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"120892",56,0.159090909090909,0.111480865224626,"LRRK2","ENSG00000188906",1.10713301594383e-05,-8.08242536986328,"BOST_RBC.csv"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5583",56,0.159090909090909,0.111480865224626,"PRKCH","ENSG00000027075",0,-15.0966375617631,"BOST_tCells.csv"
